TaxaNames,Mode,Mass,Superclass,Subclass,Specificclass,Pathway,Bestname
neg11213,negative,224.0602,Organic acids and derivatives,Sulfuric acid esters,Sulfuric acid monoesters,Carbohydrates,N Tris(hydroxymethyl)methyl 3 aminopropanesulfonic Acid
neg11216,negative,720.4577,Lipids and lipid like molecules,Glycerophosphoethanolamines,Phosphatidylethanolamines,Fatty acids,Phosphatidylserine(20:3/14:0)
neg1122,negative,211.0983,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,NA
neg11227,negative,503.3644,Organic acids and derivatives,Carboxylic acid derivatives,Secondary carboxylic acid amides,Uncertain,3 (3 hydroxyoct 1 enyl) 2 +AFs-7 oxo 7 +AFs-4 (3 phenylprop 2 enyl)piperazin 1 yl+AF0-heptyl+AF0-cyclopentan 1 one
neg11232,negative,519.2971,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Polyketides,Ecdysteroids
neg11233,negative,457.3191,Organic acids and derivatives,Amino acids peptides and analogues,Peptides,Amino acids and Peptides,1 (2 amino 4 methylpentanoyl) N +AFs-3 methyl 1 oxo 1 (4 propan 2 ylanilino)butan 2 yl+AF0-piperidine 4 carboxamide
neg11238,negative,329.2347,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,sativic acid
neg1124,negative,163.0255,Organic acids and derivatives,Beta hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Fatty acids,NA
neg11241,negative,513.3455,Organic acids and derivatives,Hexacarboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Polyketides,scymnol
neg11242,negative,721.4046,Lipids and lipid like molecules,Fatty acyl glycosides,Alkyl glycosides,Fatty acids,NA
neg1125,negative,161.0461,Organic acids and derivatives,Medium chain hydroxy acids and derivatives,Medium chain hydroxy acids and derivatives,Fatty acids,meglutol
neg11252,negative,752.4777,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,Monomethylauristatin E
neg11254,negative,591.3995,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lupane triterpenoids
neg1126,negative,295.2287,Lipids and lipid like molecules,Lineolic acids and derivatives,Lineolic acids and derivatives,Fatty acids,13 hode
neg11265,negative,415.2875,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Uncertain,Terpenoids,4 (7 acetyloxy 3 hydroxy 10 13 dimethyl 2 3 4 5 6 7 8 9 11 12 14 15 16 17 tetradecahydro 1H cyclopenta+AFs-a+AF0-phenanthren 17 yl)pentanoic acid
neg1127,negative,269.0527,Nucleosides nucleotides and analogues,Uncertain,Purine nucleosides,Carbohydrates,2 (1 methyl 2 6 dioxo 3H purin 7 yl)acetate
neg11275,negative,535.3286,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,AmbscPOD 07/0854
neg1128,negative,423.2038,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Amino acids and Peptides,Oprea1 226739
neg11289,negative,312.0892,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Carbohydrates,N Acetyl 2 deoxy 2 3 difluoroneuraminic acid
neg1129,negative,277.0338,Nucleosides nucleotides and analogues,Uncertain,Purine nucleosides,Carbohydrates,NA
neg11302,negative,357.2296,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,Other Octadecanoids
neg11305,negative,535.2921,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg1131,negative,525.3594,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Lanostane Tirucallane and Euphane triterpenoids
neg1133,negative,113.0243,Organic oxygen compounds,Carbonyl compounds,Uncertain,Fatty acids,D xylose
neg1134,negative,119.035,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,2 4 dihydroxybutyric acid
neg11341,negative,433.2606,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,3 12 Dioxocholanic acid
neg11344,negative,547.2909,Lipids and lipid like molecules,Hydroxysteroids,3 hydroxysteroids,Terpenoids,Unsaturated fatty acids
neg11346,negative,535.2921,Lipids and lipid like molecules,Uncertain,Uncertain,Terpenoids,3 12 bis(acetyloxy) 7 oxocholan 24 oic acid
neg1135,negative,207.0518,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Carbohydrates,glucoheptonic acid
neg1137,negative,476.2794,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Fatty acids,Glycerophosphoethanolamines
neg11370,negative,535.2923,Lipids and lipid like molecules,Steroid lactones,Cardenolide glycosides and derivatives,Terpenoids,3 12 bis(acetyloxy) 7 oxocholan 24 oic acid
neg1138,negative,439.0805,Phenylpropanoids and polyketides,O methylated flavonoids,O methylated flavonoids,Shikimates and Phenylpropanoids,Flavones
neg1139,negative,143.0357,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,keto D fructose
neg1140,negative,421.1879,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Hexoses,Terpenoids,Dibenzylbutane lignans
neg11401,negative,285.0075,Organic acids and derivatives,Arylsulfates,Arylsulfates,Shikimates and Phenylpropanoids,2 Propenoic acid 3 +AFs-3 5 dimethoxy 4 (sulfooxy)phenyl+AF0- 
neg11402,negative,619.3638,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
neg11407,negative,431.2449,Lipids and lipid like molecules,Uncertain,4 carboxy steroids,Terpenoids,3 12 Dioxochol 4 en 24 oic Acid
neg11417,negative,325.1098,Lipids and lipid like molecules,Fatty acids and conjugates,Fatty acids and conjugates,Fatty acids,Macrolide lactones
neg1142,negative,531.37,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,(1R 4aS 6aR 6aS 6bR 8aR 10R 11R 12aR) 10 11 dihydroxy 1 2 2 6a 6b 9 9 12a octamethyl 1 3 4 5 6 6a 7 8 8a 10 11 12 13 14b tetradecahydropicene 4a carboxylic acid
neg11428,negative,461.2561,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg1145,negative,573.3821,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,1 acetyl 3a +AFs-(acetyloxy)methyl+AF0- 5a 5b 8 8 11a pentamethylicosahydro 1H cyclopenta+AFs-a+AF0-chrysen 9 yl acetate
neg1146,negative,476.2794,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Fatty acids,Glycerophosphoethanolamines
neg11480,negative,433.2968,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,4 (7 acetyloxy 3 hydroxy 10 13 dimethyl 2 3 4 5 6 7 8 9 11 12 14 15 16 17 tetradecahydro 1H cyclopenta+AFs-a+AF0-phenanthren 17 yl)pentanoic acid
neg11493,negative,515.1731,Organoheterocyclic compounds,1 benzopyrans,Pyranochromenes,Shikimates and Phenylpropanoids,Chalcones
neg1150,negative,255.0732,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids,Carbohydrates,Aminoacids
neg11508,negative,341.2345,Lipids and lipid like molecules,Fatty acids and conjugates,Amino fatty acids,Alkaloids,NA
neg1151,negative,529.3546,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg11510,negative,345.0983,Benzenoids,Anisoles,Anisoles,Shikimates and Phenylpropanoids,Depsides
neg11519,negative,481.2964,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,Cholestane steroids
neg11532,negative,375.2766,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
neg11544,negative,477.2507,Lipids and lipid like molecules,Uncertain,Prostaglandins and related compounds,Terpenoids,NA
neg1157,negative,271.0832,Uncertain,Uncertain,Furanoid fatty acids,Fatty acids,NA
neg11584,negative,653.2789,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Terpenoids,Carbinol 18b
neg11605,negative,261.0409,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Shikimates and Phenylpropanoids,2 7 Naphthalenedicarboxylicacid
neg1161,negative,735.4345,Lipids and lipid like molecules,Steroidal glycosides,Steroidal saponins,Terpenoids,Cucurbitane triterpenoids
neg11617,negative,667.4072,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acid amides,Amino acids and Peptides,NA
neg11619,negative,461.2562,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Terpenoids,NA
neg1162,negative,275.0232,Organic acids and derivatives,Arylsulfates,Phenylsulfates,Shikimates and Phenylpropanoids,3 (3 methoxy 4 sulfooxyphenyl)propanoic acid
neg11621,negative,445.2605,Lipids and lipid like molecules,Uncertain,Fatty Acyls,Polyketides,Phytane diterpenoids
neg11622,negative,537.2357,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Terpenoids,Secoiridoid monoterpenoids
neg11625,negative,509.2401,Lipids and lipid like molecules,Fatty acid esters,Fatty acid esters,Polyketides,Taxane diterpenoids
neg11629,negative,745.254,Lignans neolignans and related compounds,Uncertain,Lignan glycosides,Shikimates and Phenylpropanoids,Flavonolignans
neg1163,negative,281.0676,Organic oxygen compounds,Alcohols and polyols,Secondary alcohols,Shikimates and Phenylpropanoids,D Xylose Tetraacetate
neg11633,negative,463.2717,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,NA
neg11639,negative,461.2564,Lipids and lipid like molecules,Steroid esters,Steroid esters,Terpenoids,NA
neg11645,negative,523.2562,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Terpenoids,NA
neg11648,negative,263.0719,Benzenoids,Uncertain,Benzene and substituted derivatives,Shikimates and Phenylpropanoids,Pulvinon
neg1165,negative,149.0461,Organic oxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides,Carbohydrates,+A7E- D xylopyranose
neg11650,negative,475.2712,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Bile acids alcohols and derivatives,Terpenoids,NA
neg11651,negative,459.2409,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Hydroxy bile acids alcohols and derivatives,Terpenoids,Taxane diterpenoids
neg11654,negative,365.1975,Organoheterocyclic compounds,Furanones,Butenolides,Terpenoids,NA
neg11672,negative,365.1974,Uncertain,Uncertain,Uncertain,Fatty acids,NA
neg1168,negative,478.2949,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Fatty acids,1 18:1 lysoPE
neg11689,negative,345.1719,Lipids and lipid like molecules,Terpene lactones,Diterpene lactones,Terpenoids,Abietane diterpenoids
neg1169,negative,241.1201,Organic acids and derivatives,Amino acids peptides and analogues,Uncertain,Amino acids and Peptides,Aminoacids
neg11692,negative,433.2614,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Terpenoids,NA
neg11709,negative,313.1097,Uncertain,Uncertain,Dibenzylbutyrolactone lignans,Shikimates and Phenylpropanoids,NA
neg1171,negative,255.088,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Fatty acids,Branched fatty acids
neg11714,negative,363.2188,Lipids and lipid like molecules,Diterpenoids,Diterpenoids,Terpenoids,NA
neg11716,negative,631.4038,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
neg11718,negative,425.1045,Benzenoids,2 hydroxy 2 unsubstituted benzenoids,1 hydroxy 2 unsubstituted benzenoids,Shikimates and Phenylpropanoids,2 +AFs-(2 4 dimethoxyphenyl)methylene+AF0- 3 oxobenzo+AFs-3 4 b+AF0-furan 6 yl 3 5 dimethoxybe nzoate
neg11729,negative,313.1305,Organic acids and derivatives,Uncertain,Hydroxy acids and derivatives,Terpenoids,Elemane sesquiterpenoids
neg1173,negative,195.067,Organic acids and derivatives,Carboxylic acids,Carboxylic acids,Polyketides,3 5 dimethylorsellinic acid
neg11737,negative,391.1774,Lipids and lipid like molecules,Terpene lactones,Diterpene lactones,Terpenoids,Abietane diterpenoids
neg1175,negative,173.0092,Organic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty acids,aconitate
neg11755,negative,345.2079,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Polyketides,NA
neg11764,negative,481.2961,Lipids and lipid like molecules,Hydroxysteroids,Hydroxysteroids,Terpenoids,NA
neg1178,negative,281.0675,Organic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,Uncertain,Furans
neg1179,negative,571.3661,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,NA
neg1182,negative,564.3326,Lipids and lipid like molecules,Fatty acid esters,Fatty acid esters,Fatty acids,Piperidine alkaloids
neg11822,negative,473.2204,Benzenoids,Halobenzenes,Chlorobenzenes,Uncertain,NA
neg11828,negative,603.2632,Phenylpropanoids and polyketides,Hydroxyflavonoids,3 hydroxyflavonoids,Shikimates and Phenylpropanoids,NA
neg11829,negative,415.2506,Lipids and lipid like molecules,Bile acids alcohols and derivatives,Trihydroxy bile acids alcohols and derivatives,Terpenoids,Methyl 3 7 12 trioxocholan 24 oate
neg11845,negative,633.3802,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acid amides,Alkaloids,Iboga type
neg1185,negative,321.1747,Organoheterocyclic compounds,Uncertain,Heteroaromatic compounds,Uncertain,NA
neg11861,negative,617.4241,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Kaurane and Phyllocladane diterpenoids
neg11866,negative,575.3391,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Avermectins
neg1187,negative,271.0683,Organoheterocyclic compounds,Imidazoles,N substituted imidazoles,Carbohydrates,5 nitroso 6 (2 3 4 5 tetrahydroxypentylamino) 1H pyrimidine 2 4 dione
neg1188,negative,541.3544,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Spirostane steroids
neg1189,negative,537.2732,Organic acids and derivatives,Amino acids peptides and analogues,Uncertain,Amino acids and Peptides,NA
neg1190,negative,283.0831,Benzenoids,Uncertain,Phenols,Uncertain,NA
neg1191,negative,595.2916,Lipids and lipid like molecules,Fatty acid esters,Fatty acid esters,Terpenoids,Colensane and Clerodane diterpenoids
neg1192,negative,541.3539,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Oleanane triterpenoids
neg11925,negative,569.2054,Phenylpropanoids and polyketides,Uncertain,Uncertain,Shikimates and Phenylpropanoids,Neolignans
neg11927,negative,391.1776,Lipids and lipid like molecules,Terpene lactones,Diterpene lactones,Terpenoids,Eudesmane sesquiterpenoids
neg1193,negative,421.2278,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids and derivatives,Alkaloids,NA
neg11935,negative,603.2644,Benzenoids,3 hydroxy 2 unsubstituted benzenoids,1 hydroxy 2 unsubstituted benzenoids,Shikimates and Phenylpropanoids,Taxane diterpenoids
neg1194,negative,743.1418,Organic acids and derivatives,Amino acids peptides and analogues,Alpha amino acids and derivatives,Amino acids and Peptides,NA
neg11941,negative,311.1873,Lipids and lipid like molecules,Fatty acids and conjugates,Long chain fatty acids,Fatty acids,NA
neg11946,negative,369.047,Phenylpropanoids and polyketides,Hydroxycinnamic acids and derivatives,Coumaric acids and derivatives,Shikimates and Phenylpropanoids,Cinnamic acids and derivatives
neg1195,negative,129.0559,Lipids and lipid like molecules,Fatty acids and conjugates,Methyl branched fatty acids,Fatty acids,mevalonic acid
neg11956,negative,575.3381,Lipids and lipid like molecules,Triterpenoids,Triterpenoids,Terpenoids,Avermectins
neg11957,negative,399.0733,Benzenoids,Anthraquinones,Anthraquinones,Polyketides,Naphthoquinones
neg1196,negative,323.1143,Organic oxygen compounds,Carbonyl compounds,Alkyl phenylketones,Alkaloids,NA
neg11965,negative,267.1245,Organic acids and derivatives,Amino acids peptides and analogues,Amino acids peptides and analogues,Alkaloids,NA
neg11969,negative,545.3132,Benzenoids,Benzoic acids and derivatives,o Hydroxybenzoic acid esters,Polyketides,Ursane and Taraxastane triterpenoids
neg11974,negative,491.303,Lipids and lipid like molecules,Ecdysteroids,Ecdysteroids,Terpenoids,Cholestane steroids
neg11992,negative,264.9999,Benzenoids,Uncertain,Uncertain,Alkaloids,NA
neg120,negative,463.1148,Benzenoids,Uncertain,Benzene and substituted derivatives,Amino acids and Peptides,NA
neg12003,negative,295.156,Lipids and lipid like molecules,Uncertain,Uncertain,Fatty acids,NA
neg12006,negative,239.0206,Lipids and lipid like molecules,Fatty acids and conjugates,Thia fatty acids,Fatty acids,NA
neg12016,negative,523.1619,Phenylpropanoids and polyketides,Flavonoid glycosides,Flavonoid glycosides,Shikimates and Phenylpropanoids,Dihydroflavonols
